Trainning 101 images.

Trained Eigenfaces model in 1 seconds
Trained LBPH model in 1 seconds

                    Class   Eigen           Conf    LBPH           Conf
       Anna_Kournikova-47      54         2835.5      36         76.604
        Annette_Bening-48      30         1831.3      36        67.8139
       Anthony_Hopkins-49      28        1174.22      55        56.8611
      Antonio_Banderas-50      64         1442.8      14        62.8173
      Antonio_Banderas-50       7        2100.84      45        58.5148
          Antony_Leung-51      28        1862.91      57        64.6655
         Anwar_Ibrahim-52      14        2538.08       1        60.2191
Arantxa_Sanchez-Vicario-53       -        1930.85      14         70.317
         Ari_Fleischer-54      18        1710.62      63        60.9471
         Ari_Fleischer-54       -              0       -              0
         Ari_Fleischer-54      30        1910.66      12        51.3685
         Ari_Fleischer-54      18        1710.62      63        60.9471
    Arianna_Huffington-55       -              0       -              0
    Arianna_Huffington-55      64        1853.47      45        59.8833
         Arminio_Fraga-56       5        2368.82       7        65.4654
         Arnold_Palmer-57       5        2071.69      12        62.4008
         Arnold_Palmer-57      54        2161.01      56         60.534
        Arnoldo_Aleman-58      28        1289.08      28        53.4165
        Arnoldo_Aleman-58      30        1602.24      61        53.6116
          Aron_Ralston-59      54        2229.18      36         75.745
          Art_Hoffmann-60       -         2421.8      66        59.4574
          Arturo_Gatti-61       -              0       -              0
          Arturo_Gatti-61      12        2306.27      55        60.1435
            Arye_Mekel-62      34        1944.34       6        60.3834
        Asa_Hutchinson-63      49        2303.16      28        56.4975
  Atal_Bihari_Vajpayee-64       -        2045.13      14        61.4223
  Atal_Bihari_Vajpayee-64       -        1105.38      14        55.5636
    Augusto_Roa_Bastos-65      38         3313.5      14        65.0544
             Azra_Akin-66       -        1558.83       -        57.1699
Right predictions EigenFaces: 25
Right predictions LBPH: 15
