Trainning 363 images.

Trained Eigenfaces model in 242 seconds
Trained LBPH model in 95 seconds

                    Class   Eigen           Conf    LBPH           Conf
    Alicia_Silverstone-29      80        11321.5      67        80.5304
Alimzhan_Tokhtakhounov-30     177          20231     103        124.706
         Alison_Lohman-31     249        13681.5     218        134.231
          Alvaro_Noboa-32       -              0       -              0
          Alvaro_Noboa-32       4        16136.1      67        96.7749
 Alvaro_Silva_Calderon-33      85        13749.4     182        101.136
          Amanda_Beard-34     160        14266.4      20        108.748
         Amber_Tamblyn-35       -        7743.87       -        71.1869
           Amelia_Vega-36     200        15734.6     101        138.125
           Amelia_Vega-36      66        16315.1      45         104.18
           Amelia_Vega-36      66        16315.1      45         104.18
         Amer_al-Saadi-37     245        13479.7     203        73.9225
           Ana_Guevara-38      66        15097.9     140         99.512
           Ana_Guevara-38     245        12723.4     203        88.2578
           Ana_Guevara-38     245        12723.4     203        88.2578
           Ana_Guevara-38     245        12723.4     203        88.2578
     Anastasia_Myskina-39       -              0       -              0
     Anastasia_Myskina-39      27        13469.9     151        184.303
 Anders_Fogh_Rasmussen-40      25        9456.44     209        76.2498
 Anders_Fogh_Rasmussen-40     249        13164.4     218        127.126
          Andre_Agassi-41     168        16052.3     174        156.109
      Andrew_Weissmann-42     235        14356.7     143        118.391
          Andy_Roddick-43     245        11656.1     218        94.5782
          Andy_Roddick-43      68        12527.6     174        125.805
          Andy_Roddick-43     245        11656.1     218        94.5782
        Angela_Bassett-44      45        12103.9     233        113.881
        Angelina_Jolie-45     245        12459.3     203        106.961
        Angelina_Jolie-45       -              0       -              0
        Angelina_Jolie-45     245        12459.3     203        106.961
        Angelina_Jolie-45      63        15253.4     249        106.609
        Angelina_Jolie-45      63        15253.4     249        106.609
         Anibal_Ibarra-46     106        14000.3     132        74.6545
       Anna_Kournikova-47     115        15377.6      55         219.06
        Annette_Bening-48      49        14386.9      94        293.752
       Anthony_Hopkins-49     168        13910.9     218        75.3642
      Antonio_Banderas-50      80        13328.1     147        84.3785
      Antonio_Banderas-50      45        12748.2     209        88.8602
          Antony_Leung-51      64        14580.8       5        161.443
         Anwar_Ibrahim-52     207          11641     218        103.159
Arantxa_Sanchez-Vicario-53       3          14481     203        85.2996
         Ari_Fleischer-54     180        16200.5      20        64.0214
         Ari_Fleischer-54       -              0       -              0
         Ari_Fleischer-54     205        14260.2      67        67.0052
         Ari_Fleischer-54     180        16200.5      20        64.0214
    Arianna_Huffington-55       -              0       -              0
    Arianna_Huffington-55     168        15303.7      14        141.574
         Arminio_Fraga-56      25        8937.69     194        173.473
         Arnold_Palmer-57     177        13220.1     218        116.204
         Arnold_Palmer-57     248        14380.1      22        139.965
        Arnoldo_Aleman-58     191        16152.8      80        134.575
        Arnoldo_Aleman-58     245        12392.3     173          133.1
          Aron_Ralston-59     248        14169.6     203        82.4664
          Art_Hoffmann-60       4        14853.4     203        90.8285
          Arturo_Gatti-61       -              0       -              0
          Arturo_Gatti-61      74        11793.6     218        60.1022
            Arye_Mekel-62     249        11560.2     203        101.915
        Asa_Hutchinson-63     160        14475.8     129         67.441
  Atal_Bihari_Vajpayee-64     140        12146.7     218        71.7187
  Atal_Bihari_Vajpayee-64       9        18625.1     200        132.673
    Augusto_Roa_Bastos-65      90        17779.8     131        119.641
             Azra_Akin-66     222        13003.4     218        81.9546
       Barbara_Walters-67       -              0       -              0
       Barbara_Walters-67      76        14250.4     239        114.402
       Barbara_Walters-67      76        14250.4     239        114.402
      Barbra_Streisand-68       -              0       -              0
      Barbra_Streisand-68     179        10113.7     187        79.0025
       Barrett_Jackman-69     179        16434.7      22        88.4462
            Barry_Zito-70      79        13412.3     132        110.432
          Bashar_Assad-71       -              0       -              0
          Bashar_Assad-71     156        13175.2     147        75.6584
            Ben_Glisan-72     218        13951.1     218        114.035
           Ben_Howland-73     245        10550.5     202        117.063
        Benazir_Bhutto-74       -              0       -              0
        Benazir_Bhutto-74     154          19091      67        91.5103
        Bernard_Landry-75     230        14644.2      44        91.3279
        Bernard_Landry-75     200        16698.8     132        167.818
           Bernard_Law-76       -              0       -              0
           Bernard_Law-76      79        14294.5     239        144.521
       Bernardo_Segura-77      90        11549.9      40        187.321
            Beth_Jones-78      54        14236.3     139        109.703
         Bijan_Darvish-79      76        17160.5     169        214.621
 Bijan_Namdar_Zangeneh-80      97        10814.6     132        116.172
        Bill_Belichick-81      25        9474.13     209        140.686
         Bill_Callahan-82     230        12295.5     209        112.255
         Bill_Callahan-82     154        13838.3     237        117.775
          Bill_Clinton-83      89        13980.5     209        143.778
            Bill_Gates-84      49        13765.2     129         59.061
            Bill_Gates-84     251        17101.9      40        267.034
           Bill_Graham-85     245        11652.2     145        143.817
           Bill_Graham-85      28        10966.9     218         175.08
           Bill_Nelson-86      98        14858.7     129        91.1607
            Bill_Simon-87     202        13700.1     132            114
            Bill_Simon-87      28        11780.5      59        166.131
         Billy_Crystal-88       -              0       -              0
         Billy_Crystal-88     216        10662.2     145         135.04
         Billy_Crystal-88     216        10662.2     145         135.04
          Billy_Graham-89      64        14240.8     227        93.8314
  Binyamin_Ben-Eliezer-90     242        15233.1     209        174.728
  Binyamin_Ben-Eliezer-90     170          13950     129        135.102
               Bo_Ryan-91      85        13372.3     200        79.2839
          Bob_Beauprez-92     141        11307.4     163        148.745
            Bob_Geldof-93     245        12260.8      67        62.9422
            Bob_Graham-94      90        11079.9     146        127.728
            Bob_Graham-94     249        14360.7     218        140.884
            Bob_Graham-94     180        12506.2      17        150.888
            Bob_Graham-94      90        11079.9     146        127.728
           Bob_Huggins-95     245        11388.4     239        124.259
            Bob_Stoops-96     245        13594.9     147        64.9136
          Bobby_Robson-97      80        13971.9     237        171.135
      Boris_Berezovsky-98      88          11381     218        85.4614
    Branko_Crvenkovski-99      26        13432.8      36        113.956
       Brendan_Hansen-100     239        10604.3     239        101.266
       Brooke_Shields-101     187        13654.1      44        125.613
   Bruce_Van_De_Velde-102     143         9667.9     218        62.9556
          Bruce_Weber-103     106        10737.5     132        124.216
            Bud_Selig-104     180        11242.3     206        138.347
            Bud_Selig-104     242        19240.8     182        147.626
        Bulent_Ecevit-105      45        17004.7      80         100.21
        Bulent_Ecevit-105       -        13835.5     143        88.3393
        Bulent_Ecevit-105      90        12051.8     237        91.6522
         Cameron_Diaz-106     218        15881.2     218        158.999
          Candie_Kung-107       -              0       -              0
          Candie_Kung-107     248        16930.4     146        109.762
          Carla_Myers-108     245        10952.4      67        67.9209
         Carlos_Menem-109     224        15727.9     218         109.91
         Carlos_Menem-109      49        17827.9      22        155.168
          Carlos_Ruiz-110      43        11869.7     143        88.0219
         Carlos_Vives-111       -              0       -              0
         Carlos_Vives-111       -        16132.9     218          141.7
        Carly_Fiorina-112     243        12011.8     195        91.4322
        Carly_Fiorina-112     106          12135     161        218.491
       Carmen_Electra-113     103          17314     103        137.261
  Carol_Moseley_Braun-114      77        15740.8     214        131.741
       Carolina_Kluft-115     174        13405.4      68        178.761
     Caroline_Kennedy-116     202        14059.8     131        100.097
        Carson_Palmer-117      97        10463.2      76        108.147
       Cate_Blanchett-118     149        16803.7      94        90.7094
       Cate_Blanchett-118     235        11463.6     120        112.158
    Catherine_Deneuve-119     145        11726.1      35        94.1908
 Catherine_Zeta-Jones-120       -              0       -              0
 Catherine_Zeta-Jones-120       -              0       -              0
 Catherine_Zeta-Jones-120      70        10919.2      29        67.7602
 Catherine_Zeta-Jones-120      70        10919.2      29        67.7602
 Catherine_Zeta-Jones-120     146        11048.7     209        112.551
      Cecilia_Bolocco-121     249        12244.5      99        167.988
        Cesar_Gaviria-122      20        11795.2     103        120.308
        Cesar_Gaviria-122     170        11697.5     218         95.649
        Cesar_Gaviria-122      79        10926.8     120        107.277
     Charles_Grassley-123     141        10546.5      80         131.89
        Charles_Moose-124      77        15088.2     143        89.6777
        Charles_Moose-124       4        13542.6      67        88.6916
        Charles_Moose-124      90        10450.5     143        178.803
      Charles_Schumer-125     249          14910      80        127.271
   Charlotte_Rampling-126      45        14406.8      26         98.667
        Chen_Liang_Yu-127     163        11814.7     143        137.817
         Cherie_Blair-128       -              0       -              0
         Cherie_Blair-128       -              0       -              0
         Cherie_Blair-128     216        14737.5      87        48.1673
         Cherie_Blair-128     216        14737.5      87        48.1673
       Choi_Sung-hong-129     249        13382.9     145        158.701
       Choi_Sung-hong-129     249        13382.9     145        158.701
         Chris_Cooper-130     137        14607.8       5        139.172
           Chris_Rock-131      80        10225.7      90        226.662
         Chris_Tucker-132      25        9822.65     151        92.6255
 Christian_Fittipaldi-133       9        15932.8     203        140.253
   Christine_Gregoire-134      23        15163.9     103        142.339
   Christopher_Patten-135     179        13756.8     203        106.505
   Christopher_Walken-136     102          16234      33        233.492
   Christopher_Walken-136     102          16234      33        233.492
          Chuck_Amato-137       -        13075.8     103        233.253
         Chuck_Yeager-138      62        13049.3      87        67.0125
       Chung_Mong-hun-139     175        14645.3       -        74.9462
       Cindy_Margolis-140     168        16847.2       5        113.793
           Ciro_Gomes-141       -              0       -              0
           Ciro_Gomes-141     249        12261.4     249        385.386
           Ciro_Gomes-141     249        12261.4     249        385.386
       Claire_Hentzen-142     131          15469     103        160.315
         Clara_Harris-143     243        8891.77       -        51.8145
         Clara_Harris-143     243        8891.77       -        51.8145
    Claudia_Pechstein-144      58        12975.5     129         117.21
     Claudia_Schiffer-145      85        13195.2      28        92.7521
       Clint_Eastwood-146      76        14470.4     125        125.569
       Clint_Eastwood-146     140        11470.9     191         89.686
       Clint_Eastwood-146     140        11470.9     191         89.686
        Colin_Farrell-147      79        11988.9     218        212.884
        Colin_Farrell-147      79        11988.9     218        212.884
        Colin_Jackson-148     173        15270.5     218        129.724
    Colin_Montgomerie-149     238        13803.2     239        180.839
    Colin_Montgomerie-149       4        12406.4     239        143.365
         Colin_Powell-150      80        12254.2     218        139.367
         Colin_Powell-150     120        13470.4     237        157.796
         Colin_Powell-150      70        9678.53      70         79.907
         Conan_OBrien-151      86          14062     209         141.69
      Constance_Marie-152      25        11608.8      22        134.433
   Coretta_Scott_King-153     216        13262.1     143        61.4657
        Corinne_Coman-154       9        13205.1     203        87.0843
       Costas_Simitis-155     174        15583.8     209        77.9411
       Costas_Simitis-155     180        14330.3     200        83.3338
   Cristina_Saralegui-156     106        10762.3      28         116.95
      Cruz_Bustamante-157      45        9608.91     169        107.293
           Dalai_Lama-158      90        10451.3     218        95.4977
    Dale_Earnhardt_Jr-159     249        12733.3      55        94.6216
    Dale_Earnhardt_Jr-159     170        12455.6     248        99.9765
        Damon_van_Dam-160      49        16112.5     135        184.473
          Dan_Morales-161     176        14712.3      87        64.5433
          Dan_Morales-161      25        11722.8     129        89.5692
     Daniel_Day-Lewis-162     102        11773.9     160        155.482
     Daniel_Day-Lewis-162     146        15267.7     147         78.356
         Darrell_Issa-163       9          14260     143        89.5659
       Darrell_Porter-164     200          15997       -        89.1243
        Darren_Clarke-165      49        15299.5     218        95.6191
         Daryl_Hannah-166     168        15379.3     171        156.823
       David_Anderson-167       -              0       -              0
       David_Anderson-167     179        11802.1      40        155.662
        David_Beckham-168     218        13243.7     203        121.235
        David_Beckham-168     245          12996      95        96.4759
        David_Beckham-168     202        13099.4     239        140.513
         David_Caruso-169     243        9319.95      32        144.439
      David_Coulthard-170     248        12749.3     218        91.5808
          David_Dodge-171      80          13495      58        98.4122
        David_Heymann-172     246          16673      10        148.551
    David_Hyde_Pierce-173     248        13417.2     222        127.485
          David_Myers-174      28        12444.1     218        88.4576
     David_Nalbandian-175     248        14079.9     143        112.028
          David_Spade-176      29        13145.7     203        94.7288
          David_Wells-177       -              0       -              0
          David_Wells-177     245        12370.8     203         150.88
         Dean_Barkley-178     245        10242.3     218        108.205
         Dean_Barkley-178     106        10679.9      20        85.9378
      Debbie_Reynolds-179     106        12204.7     218        84.9415
          Debra_Brown-180     106        10149.8      28        106.849
           Demi_Moore-181       -              0       -              0
           Demi_Moore-181      25        8832.65      67        119.163
           Demi_Moore-181     106        10778.2      67        98.0094
      Dennis_Erickson-182     106        12285.8     218        111.936
      Dennis_Kucinich-183     170        13746.9       3        136.527
      Dennis_Kucinich-183     154        17164.1      88        154.811
           Derek_Lowe-184     110        9642.05     177        99.7363
       Desiree_Lemosi-185      80        13654.1     203        99.4097
       Dexter_Jackson-186     176        18419.8     225        52.5612
          Diana_Krall-187     218          13975     108        91.2848
          Diana_Krall-187     162        15091.4     191        87.1915
          Diana_Krall-187     145        11911.8      68        131.029
           Diana_Munz-188     249        15850.7     222        159.361
     Dianne_Feinstein-189     245        11310.8     218        89.4695
          Dick_Cheney-190     243          11717     209        82.6412
          Dick_Cheney-190     187        14525.2     218        85.2845
         Dolly_Parton-191     218        15718.3      67        76.9131
        Dolma_Tsering-192       -        14401.3     191        88.8642
          Don_Nickles-193      90        13292.4       -        90.4725
        Don_Siegelman-194     113        13810.9     113        142.191
         Donald_Evans-195      88          12465     218         92.337
          Donald_Fehr-196     103        12271.1     202        127.278
        Doris_Roberts-197     205          13661     223        125.027
          Doug_Duncan-198      26        11674.6     129        103.591
       Drew_Barrymore-199      45         8134.1     146        106.802
    Duane_Lee_Chapman-200     115          15151     218        92.0432
       Dwayne_Johnson-201      25        12118.1      71        117.438
          Eddy_Merckx-202      90        13333.1     160        212.842
           Edie_Falco-203     245        13554.4     218        129.616
       Edmund_Hillary-204      85          15122      80        106.305
       Edmund_Stoiber-205      68        12975.2     218        96.6807
  Eduard_Shevardnadze-206       -              0       -              0
  Eduard_Shevardnadze-206      88        15373.5     218        69.9196
      Eduardo_Duhalde-207     200        18939.3     202        118.366
       Edward_Kennedy-208     145        15370.6     132        74.1255
          Edward_Said-209     243          11413     218        72.2393
        Edwina_Currie-210     194        10493.5     194        138.537
     Eileen_Coparropa-211      90        11329.3     237        110.823
         Elena_Bovina-212     248        13511.1     191        149.624
          Elijah_Wood-213      66        13609.9     110        87.5715
       Elizabeth_Dole-214     180        10424.8     218        72.5042
     Elizabeth_Hurley-215       -              0       -              0
     Elizabeth_Hurley-215      12        13597.2     132        95.4806
     Elizabeth_Hurley-215       -        9754.25     239        84.8715
       Elizabeth_Shue-216     245          11062      67        65.6588
      Ellen_DeGeneres-217      89        11129.1      84        144.972
           Elton_John-218     237        11352.5     151        111.185
           Elton_John-218      88        13382.9      68        173.548
        Elvis_Presley-219     170        17534.1      23        102.932
     Emanuel_Ginobili-220     207        12308.9     239        139.139
         Emile_Lahoud-221     232        14999.3      80        77.7697
        Emily_Robison-222     243        12069.4     143        128.804
        Emma_Thompson-223     245        10244.9     105        155.216
        Emma_Thompson-223     180        11576.2     110        119.311
     Emmanuelle_Beart-224       -              0       -              0
     Emmanuelle_Beart-224      68        12949.5      67        97.4514
          Emmit_Smith-225      23          14001     209        108.349
      Enrique_Bolanos-226       -              0       -              0
      Enrique_Bolanos-226     145        14550.2     143         155.43
      Enrique_Bolanos-226     145        14550.2     143         155.43
         Eric_Clapton-227     106        13343.1     218        72.0824
          Eric_Rosser-228      10        13315.8     147         64.447
         Erika_Harold-229      66        11353.4     218        57.5575
      Ernesto_Zedillo-230      79        15243.5     218        111.104
            Ernie_Els-231      59        13985.5     245        177.012
          Ethan_Hawke-232     167        16098.6     203        85.5176
          Ethan_Hawke-232     167        16098.6     203        85.5176
          Ethan_Hawke-232     167        16098.6     203        85.5176
        Eunice_Barber-233     113        15899.9     174        158.229
            Eva_Dimas-234     106        13977.1     218        120.655
    Evander_Holyfield-235      79          15487     125        133.188
        Eve_Pelletier-236      24        13008.7     242        135.356
     Farouk_al-Sharaa-237      45        11108.5      67         84.105
     Farouk_al-Sharaa-237      45        11108.5      67         84.105
      Federico_Trillo-238      23        13611.2      67        85.6115
       Felix_Mantilla-239     207        15232.3     124        121.599
    Fernando_Gonzalez-240      43        13846.2     143         112.01
    Fernando_Gonzalez-240      86        13011.3     129        111.689
Fernando_Henrique_Cardoso-241     103        14791.7     161        114.179
         Fidel_Castro-242     218        15019.2     203        115.904
      Flavia_Delaroli-243     218        14682.5     143        127.576
       Frances_Fisher-244     245        13369.6     218        85.0116
 Francis_Ford_Coppola-245       -        11275.7     218         95.515
     Francisco_Flores-246     194        13640.2     128        119.631
       Frank_Griswold-247      90        10467.4     209        75.5422
         Frank_Solich-248     230        13073.3     191         109.09
         Frank_Solich-248     226        14073.8     209        99.6108
   Franz_Muentefering-249     106        14600.8     159        107.824
   Franz_Muentefering-249     202        13673.1     239        106.605
   Franz_Muentefering-249     106        14600.8     159        107.824
        Fred_Thompson-250      79          10903     218        99.9069
            Fujio_Cho-251      85        16237.8     203        121.873
Right predictions EigenFaces: 39
Right predictions LBPH: 35
