Loaded 400 images in 0 seconds
Trainning 80 images.

Trained Eigenfaces model in 2 seconds
Trained Fisherfaces model in 1 seconds
Trained LBPH model in 3 seconds

Testing 320 different images.

                    Class   Eigen           Conf  Fisher           Conf    LBPH           Conf
                       33       -        1831.95       -        1792.29       -        35.1437
                       10       -        2804.26       -        2324.68       -        39.8978
                       10       -        2130.94       -        1895.85       -        37.9164
                       10      18        3540.11      25        2869.11      13        52.6657
                       10       -        3076.94      25        2566.51       -        43.3958
                       10      18        3447.39      25        2579.86      13        54.4408
                       10       -        2121.14       -        1854.45       -        37.5627
                       10       -        2207.52       -        2001.53       -        35.0641
                       10       -        2674.54       -        2121.18       -        42.1222
                       25       -         2677.8       -        2043.75      24        55.5776
                       25       -        3055.17       -        2095.59      24         57.851
                       25       2        3361.08       -        2302.84       2        62.8862
                       25       -        2755.16       -        2242.95      24        57.2841
                       25       2         3289.3       -        2451.26       2        58.5105
                       25      39        3140.35      22        2404.62       2        57.8184
                       25       2           3014      22        2368.75       2          63.32
                       25       -        2500.26       -        1777.63       -        59.5095
                       17       -        2275.24       -        1692.07       3        53.9912
                       17       -        1668.41       -        1027.29       -        38.4767
                       17       -        2516.18       -        1609.97      39        47.1561
                       17      39        2790.56      39        2140.29      39        55.0126
                       17       -        1547.78       -        1076.02       -        36.8034
                       17       -        3019.61       4        2097.53       3        56.9953
                       17       -        2908.57       -         2023.7      37        60.0853
                       17       -        1619.96       -        1032.81       -         41.186
                       28       -        1753.95       -         1601.6       -        40.6909
                       28       -        2536.55       -        1993.81       4         63.245
                       28       -         1598.9       -        1256.78       -        37.5286
                       28       -        2125.26       -        1605.71       -        48.5943
                       28       -        1751.14       -        1229.52       -        39.2209
                       28       -        2275.91       -        1379.89       -        43.5087
                       28       -        2217.37       -        1834.58       -        53.6759
                       28       -        1573.25       -        1029.02       -        42.2034
                       32      20        3019.49      20        2168.99      37        62.9667
                       32       -        2321.43       -        2014.73       -        48.4475
                       32       -        1602.64       -        1323.03       -        41.4657
                       32       -        1889.71       -        1570.78       -        37.9745
                       32       -        888.684       -        755.374       -        38.4194
                       32       -         517.07       -        439.696       -        32.4563
                       32       -        2522.34       -        2005.12       -        49.8965
                       32       -        2372.82       -        2110.16       -        51.9538
                       11       -        2945.25       -        2013.85       -        55.8542
                       11       -        2854.35       -        1946.97       -        48.1974
                       11       -        1748.45       -        1364.14       -         34.914
                       11       -        2172.62       -        1675.01       -         45.569
                       11       -        2321.77       -        1819.24       -        41.1965
                       11       -         2222.9       -        1418.81       -        38.0083
                       11       -        3181.16       4        2212.89       -        52.0941
                       11       -        2879.82       -        1924.24       -        45.2558
                        5       -        1940.53       -        1342.03       -        39.4519
                        5       -        1930.42       -        1330.11       -        49.5411
                        5       -        1516.76       -        976.083       -        33.0505
                        5       -        1819.12       -        1184.09       -        36.0372
                        5       -        1918.07       -         1388.6       -        46.9748
                        5       -        1654.29       -        1192.69       -        41.3178
                        5       -        2196.28       -        1509.07       9         50.695
                        5       -        1346.97       -         928.09       -        34.6523
                       21       -        2187.08       -        1661.47       -        46.3922
                       21       -        1741.07       -        1434.93       -        39.5276
                       21       -        1612.06       -         1397.2       -        46.5109
                       21       -        1678.74       -        1720.87       -        33.8599
                       21       -        2433.18      28        2229.81       -        50.5237
                       21       -        1626.21       -        1472.22       -         39.648
                       21       -        1603.18       -        1552.28       -         35.306
                       21       -         1709.2       -        1406.82       -        39.0612
                       14       1        3446.61      29        2545.41      10         55.026
                       14       -        1377.86       -        735.481       -        31.7136
                       14       -        1430.68       -        886.537       -        34.8475
                       14      23        3378.09      29        2408.09      10         52.059
                       14      23        3414.29      29        2302.21      10        50.8429
                       14       -        1416.72       -        947.937       -        36.8986
                       14       -        3311.89       -        2114.51       1        48.1309
                       14      23        3430.88      29        2402.13      10        53.5895
                        1       -        1795.34       -        1661.97       -        35.6615
                        1       -        2405.39       -        2105.84       -        39.8567
                        1       -        2135.64       -        2020.95       -        47.1832
                        1       -        2019.76       -        1630.17       -         35.018
                        1       -        915.046       -        894.084       -        32.2923
                        1       -        1631.38       -        1246.78       -        28.7499
                        1       -        1747.93       -        1328.47       -        33.3899
                        1       -        2394.26       -        1951.15       -        39.2013
                       30       -         3250.9      24        2175.35      24        55.8046
                       30       -           1953       -        1804.86       -        45.0951
                       30       -        2683.95       -        1975.95       -        49.8707
                       30       -        2355.76       -        2002.84       -        44.3537
                       30       -        2431.71       -        2116.99       -        42.6791
                       30       -        2453.05       -        2148.07       -        47.3266
                       30       -        3020.57      29        2243.71       3        54.1392
                       30       -        2698.91      29        2064.72       3        56.9594
                       27      25        3022.12      25        1868.45      13        56.1145
                       27       -        2937.41       3        2682.77       -        46.5833
                       27       -        1721.86       -        1439.61       -        29.5393
                       27      25        3044.23      25        1978.26      13        62.9702
                       27       -        3073.69      25        2291.94       -        47.9737
                       27      25        3189.63      25        2193.83      12        61.6524
                       27      36        2741.95      36        2512.32      38        71.1482
                       27      25        3060.02      25        1963.24      13        57.5297
                       39       4        2728.44       4        1868.07       -        50.5557
                       39       -        2374.11       -        1838.18       -        62.6751
                       39       -        2335.36       -        1676.22       -        57.0578
                       39       -        1744.71       -        1377.71       -        50.0892
                       39       4        1788.65       4         1438.8       4          52.26
                       39       4        2593.89       4        1836.72       8        59.6724
                       39       -        2920.73       -        2145.79      11        53.1479
                       39       -        2839.85       -        2096.42      17        58.1121
                        2       -        2072.14       -        1892.02       -        48.2151
                        2       -         2726.9       -        2263.96       3        52.9909
                        2       4        2714.45       4         1889.6       -        63.3655
                        2       -        1414.97       -           1247       -        37.0412
                        2       -        2726.69       -        1886.35      25         56.496
                        2       -        2532.04       -        2123.57       -        54.6015
                        2       -        1264.26       -        963.513       -        31.4382
                        2       -        2266.49       -        1767.74      11         68.844
                       37       -         2594.4       -        2144.05       -        52.9369
                       37       2        2842.53       2        2236.74       8        51.1062
                       37       -        930.215       -        750.443       -        33.3925
                       37       -        1859.17       -        1431.12       -        45.4509
                       37       -        2203.54       -        1792.08       -        42.7382
                       37       -        1734.89       -        1403.93       -        36.0281
                       37       -        2320.94       -         1896.1       -        47.3446
                       37       -        2625.37       -        2026.41       2        56.5411
Tested in 30 seconds

Right predictions EigenFaces: 270, 84.375%
Right predictions FisherFaces: 235, 73.4375%
Right predictions LBPH: 225, 70.3125%
